sample	pop	contgroup	sex
HG01879	ACB	AFR	1
HG01880	ACB	AFR	2
HG01881	ACB	AFR	2
HG01882	ACB	AFR	1
HG01883	ACB	AFR	2
HG01888	ACB	AFR	1
HG01884	ACB	AFR	2
HG01885	ACB	AFR	1
HG01956	ACB	AFR	2
HG01886	ACB	AFR	2
HG01887	ACB	AFR	1
HG02014	ACB	AFR	1
HG01889	ACB	AFR	2
HG01890	ACB	AFR	1
HG01891	ACB	AFR	2
HG01894	ACB	AFR	2
HG01895	ACB	AFR	1
HG01912	ACB	AFR	1
HG01896	ACB	AFR	2
HG01897	ACB	AFR	1
HG02013	ACB	AFR	1
HG01985	ACB	AFR	2
HG01914	ACB	AFR	1
HG01915	ACB	AFR	2
HG01916	ACB	AFR	2
HG01958	ACB	AFR	2
HG01959	ACB	AFR	2
HG01986	ACB	AFR	1
HG01960	ACB	AFR	2
HG01988	ACB	AFR	1
HG01989	ACB	AFR	2
HG01987	ACB	AFR	1
HG01990	ACB	AFR	1
HG02012	ACB	AFR	2
HG02009	ACB	AFR	1
HG02010	ACB	AFR	2
HG02011	ACB	AFR	1
HG02051	ACB	AFR	1
HG02052	ACB	AFR	2
HG02053	ACB	AFR	1
HG02054	ACB	AFR	2
HG02055	ACB	AFR	1
HG02095	ACB	AFR	2
HG02332	ACB	AFR	1
HG02107	ACB	AFR	1
HG02108	ACB	AFR	2
HG02111	ACB	AFR	2
HG02143	ACB	AFR	1
HG02144	ACB	AFR	2
HG02145	ACB	AFR	1
HG02255	ACB	AFR	1
HG02256	ACB	AFR	2
HG02257	ACB	AFR	2
HG02258	ACB	AFR	1
HG02314	ACB	AFR	1
HG02315	ACB	AFR	2
HG02280	ACB	AFR	2
HG02307	ACB	AFR	1
HG02308	ACB	AFR	2
HG02281	ACB	AFR	1
HG02282	ACB	AFR	2
HG02321	ACB	AFR	2
HG02283	ACB	AFR	1
HG02309	ACB	AFR	2
HG02284	ACB	AFR	1
HG02316	ACB	AFR	1
HG02317	ACB	AFR	1
HG02318	ACB	AFR	2
HG02322	ACB	AFR	2
HG02323	ACB	AFR	1
HG02325	ACB	AFR	2
HG02337	ACB	AFR	2
HG02334	ACB	AFR	1
HG02330	ACB	AFR	1
HG02339	ACB	AFR	2
HG02343	ACB	AFR	1
HG02419	ACB	AFR	2
HG02420	ACB	AFR	1
HG02427	ACB	AFR	2
HG02428	ACB	AFR	1
HG02429	ACB	AFR	1
HG02436	ACB	AFR	1
HG02433	ACB	AFR	1
HG02439	ACB	AFR	1
HG02442	ACB	AFR	1
HG02445	ACB	AFR	1
HG02489	ACB	AFR	1
HG02449	ACB	AFR	1
HG02450	ACB	AFR	2
HG02451	ACB	AFR	2
HG02455	ACB	AFR	1
HG02470	ACB	AFR	1
HG02471	ACB	AFR	2
HG02476	ACB	AFR	2
HG02477	ACB	AFR	2
HG02478	ACB	AFR	1
HG02479	ACB	AFR	2
HG02480	ACB	AFR	2
HG02481	ACB	AFR	1
HG02484	ACB	AFR	1
HG02485	ACB	AFR	2
HG02486	ACB	AFR	1
HG02511	ACB	AFR	2
HG02496	ACB	AFR	1
HG02497	ACB	AFR	2
HG02501	ACB	AFR	1
HG02502	ACB	AFR	2
HG02505	ACB	AFR	2
HG02508	ACB	AFR	2
HG02536	ACB	AFR	1
HG02537	ACB	AFR	2
HG02541	ACB	AFR	1
HG02545	ACB	AFR	1
HG02546	ACB	AFR	2
HG02547	ACB	AFR	1
HG02549	ACB	AFR	2
HG02554	ACB	AFR	1
HG02555	ACB	AFR	2
HG02557	ACB	AFR	1
HG02558	ACB	AFR	2
HG02559	ACB	AFR	2
HG02577	ACB	AFR	2
HG02580	ACB	AFR	2
NA19625	ASW	AFR	2
NA20274	ASW	AFR	2
NA19700	ASW	AFR	1
NA19701	ASW	AFR	2
NA19702	ASW	AFR	1
NA19703	ASW	AFR	1
NA19704	ASW	AFR	2
NA19705	ASW	AFR	1
NA19707	ASW	AFR	2
NA19708	ASW	AFR	2
NA19711	ASW	AFR	1
NA19712	ASW	AFR	2
NA19818	ASW	AFR	1
NA19819	ASW	AFR	2
NA19828	ASW	AFR	1
NA19834	ASW	AFR	1
NA19835	ASW	AFR	2
NA19836	ASW	AFR	2
NA19900	ASW	AFR	1
NA19901	ASW	AFR	2
NA19902	ASW	AFR	2
NA19904	ASW	AFR	1
NA19905	ASW	AFR	2
NA19913	ASW	AFR	2
NA19908	ASW	AFR	1
NA19909	ASW	AFR	2
NA19919	ASW	AFR	1
NA19914	ASW	AFR	2
NA19915	ASW	AFR	1
NA19916	ASW	AFR	1
NA19917	ASW	AFR	2
NA19918	ASW	AFR	1
NA19920	ASW	AFR	1
NA19921	ASW	AFR	2
NA20129	ASW	AFR	2
NA19922	ASW	AFR	1
NA19923	ASW	AFR	2
NA19924	ASW	AFR	2
NA19713	ASW	AFR	2
NA19982	ASW	AFR	1
NA19983	ASW	AFR	2
NA19714	ASW	AFR	2
NA19985	ASW	AFR	2
NA19984	ASW	AFR	1
NA20126	ASW	AFR	1
NA20127	ASW	AFR	2
NA20128	ASW	AFR	2
NA20276	ASW	AFR	2
NA20277	ASW	AFR	2
NA20278	ASW	AFR	1
NA20279	ASW	AFR	1
NA20282	ASW	AFR	2
NA20284	ASW	AFR	1
NA20285	ASW	AFR	1
NA20281	ASW	AFR	1
NA20287	ASW	AFR	2
NA20288	ASW	AFR	1
NA20289	ASW	AFR	2
NA20290	ASW	AFR	2
NA20291	ASW	AFR	1
NA20292	ASW	AFR	2
NA20294	ASW	AFR	2
NA20295	ASW	AFR	1
NA20296	ASW	AFR	2
NA20297	ASW	AFR	1
NA20299	ASW	AFR	2
NA20300	ASW	AFR	2
NA20298	ASW	AFR	1
NA20301	ASW	AFR	2
NA20302	ASW	AFR	1
NA20312	ASW	AFR	2
NA20313	ASW	AFR	2
NA20314	ASW	AFR	2
NA20316	ASW	AFR	1
NA20317	ASW	AFR	2
NA20319	ASW	AFR	2
NA20318	ASW	AFR	1
NA20321	ASW	AFR	2
NA20322	ASW	AFR	2
NA20320	ASW	AFR	2
NA20332	ASW	AFR	2
NA20333	ASW	AFR	2
NA20334	ASW	AFR	2
NA20335	ASW	AFR	1
NA20355	ASW	AFR	2
NA20336	ASW	AFR	2
NA20337	ASW	AFR	2
NA20339	ASW	AFR	2
NA20340	ASW	AFR	1
NA20341	ASW	AFR	2
NA20342	ASW	AFR	1
NA20343	ASW	AFR	1
NA20344	ASW	AFR	2
NA20345	ASW	AFR	1
NA20346	ASW	AFR	1
NA20347	ASW	AFR	1
NA20348	ASW	AFR	1
NA20349	ASW	AFR	1
NA20350	ASW	AFR	1
NA20351	ASW	AFR	1
NA20356	ASW	AFR	1
NA20357	ASW	AFR	2
NA20358	ASW	AFR	1
NA20359	ASW	AFR	2
NA20360	ASW	AFR	1
NA20361	ASW	AFR	2
NA20362	ASW	AFR	1
NA20363	ASW	AFR	2
NA20364	ASW	AFR	2
NA20412	ASW	AFR	2
NA20413	ASW	AFR	1
NA20414	ASW	AFR	2
HG03006	BEB	SAS	1
HG03007	BEB	SAS	2
HG03008	BEB	SAS	1
HG03589	BEB	SAS	2
HG03590	BEB	SAS	1
HG03600	BEB	SAS	1
HG03602	BEB	SAS	1
HG03603	BEB	SAS	1
HG03604	BEB	SAS	2
HG03605	BEB	SAS	2
HG03606	BEB	SAS	1
HG03607	BEB	SAS	2
HG03611	BEB	SAS	2
HG03615	BEB	SAS	1
HG03616	BEB	SAS	2
HG03617	BEB	SAS	2
HG03793	BEB	SAS	2
HG03794	BEB	SAS	1
HG03795	BEB	SAS	1
HG03796	BEB	SAS	2
HG03797	BEB	SAS	1
HG03798	BEB	SAS	1
HG03799	BEB	SAS	2
HG03800	BEB	SAS	1
HG03801	BEB	SAS	2
HG03802	BEB	SAS	2
HG03803	BEB	SAS	1
HG03804	BEB	SAS	2
HG03805	BEB	SAS	2
HG03806	BEB	SAS	1
HG03807	BEB	SAS	2
HG03808	BEB	SAS	2
HG03809	BEB	SAS	1
HG03811	BEB	SAS	2
HG03813	BEB	SAS	2
HG03814	BEB	SAS	2
HG03815	BEB	SAS	1
HG03816	BEB	SAS	2
HG03817	BEB	SAS	2
HG03821	BEB	SAS	1
HG03822	BEB	SAS	1
HG03823	BEB	SAS	2
HG03824	BEB	SAS	1
HG03825	BEB	SAS	2
HG03826	BEB	SAS	2
HG03829	BEB	SAS	2
HG03830	BEB	SAS	1
HG03831	BEB	SAS	2
HG03832	BEB	SAS	2
HG03833	BEB	SAS	1
HG03834	BEB	SAS	2
HG03901	BEB	SAS	2
HG03903	BEB	SAS	2
HG03012	BEB	SAS	1
HG03904	BEB	SAS	2
HG03905	BEB	SAS	1
HG03906	BEB	SAS	1
HG03907	BEB	SAS	2
HG03908	BEB	SAS	1
HG03909	BEB	SAS	1
HG03910	BEB	SAS	2
HG03911	BEB	SAS	1
HG03913	BEB	SAS	2
HG03914	BEB	SAS	1
HG03915	BEB	SAS	2
HG03917	BEB	SAS	1
HG03919	BEB	SAS	2
HG03920	BEB	SAS	1
HG03922	BEB	SAS	2
HG03924	BEB	SAS	2
HG03925	BEB	SAS	2
HG03926	BEB	SAS	1
HG03927	BEB	SAS	2
HG03928	BEB	SAS	2
HG03929	BEB	SAS	1
HG03930	BEB	SAS	2
HG03931	BEB	SAS	2
HG03585	BEB	SAS	1
HG03587	BEB	SAS	2
HG03934	BEB	SAS	2
HG03937	BEB	SAS	2
HG03939	BEB	SAS	2
HG03940	BEB	SAS	2
HG03941	BEB	SAS	1
HG03942	BEB	SAS	1
HG04128	BEB	SAS	1
HG04131	BEB	SAS	1
HG04132	BEB	SAS	2
HG04133	BEB	SAS	2
HG04134	BEB	SAS	1
HG04135	BEB	SAS	2
HG04136	BEB	SAS	2
HG04140	BEB	SAS	1
HG04141	BEB	SAS	2
HG04142	BEB	SAS	2
HG04144	BEB	SAS	2
HG04146	BEB	SAS	1
HG04147	BEB	SAS	2
HG04148	BEB	SAS	2
HG04149	BEB	SAS	1
HG04150	BEB	SAS	2
HG04151	BEB	SAS	2
HG04152	BEB	SAS	1
HG04153	BEB	SAS	2
HG04155	BEB	SAS	1
HG04156	BEB	SAS	2
HG04157	BEB	SAS	1
HG04158	BEB	SAS	1
HG04159	BEB	SAS	2
HG04160	BEB	SAS	1
HG04161	BEB	SAS	1
HG04162	BEB	SAS	2
HG04164	BEB	SAS	1
HG04171	BEB	SAS	2
HG04173	BEB	SAS	1
HG04174	BEB	SAS	2
HG04175	BEB	SAS	2
HG04176	BEB	SAS	1
HG04177	BEB	SAS	2
HG03593	BEB	SAS	1
HG04180	BEB	SAS	2
HG04181	BEB	SAS	2
HG04182	BEB	SAS	1
HG04183	BEB	SAS	2
HG04184	BEB	SAS	2
HG04185	BEB	SAS	1
HG04186	BEB	SAS	2
HG04187	BEB	SAS	1
HG04188	BEB	SAS	1
HG04189	BEB	SAS	2
HG04191	BEB	SAS	1
HG04192	BEB	SAS	2
HG04193	BEB	SAS	1
HG04194	BEB	SAS	1
HG04195	BEB	SAS	2
HG03594	BEB	SAS	1
HG03595	BEB	SAS	2
HG03596	BEB	SAS	1
HG03598	BEB	SAS	2
HG03599	BEB	SAS	2
HG03009	BEB	SAS	1
HG03812	BEB	SAS	1
HG03902	BEB	SAS	1
HG03916	BEB	SAS	2
HG00866	CDX	EAS	1
HG00867	CDX	EAS	2
HG02371	CDX	EAS	1
HG02372	CDX	EAS	1
HG00759	CDX	EAS	2
HG00766	CDX	EAS	2
HG00844	CDX	EAS	1
HG00851	CDX	EAS	2
HG00864	CDX	EAS	2
HG00879	CDX	EAS	2
HG00881	CDX	EAS	1
HG00956	CDX	EAS	2
HG00978	CDX	EAS	2
HG00982	CDX	EAS	1
HG00983	CDX	EAS	1
HG01028	CDX	EAS	1
HG01029	CDX	EAS	2
HG01031	CDX	EAS	1
HG01046	CDX	EAS	2
HG01794	CDX	EAS	2
HG01795	CDX	EAS	2
HG01796	CDX	EAS	2
HG01797	CDX	EAS	2
HG01798	CDX	EAS	2
HG01799	CDX	EAS	2
HG01800	CDX	EAS	2
HG01801	CDX	EAS	2
HG01802	CDX	EAS	2
HG01804	CDX	EAS	2
HG01805	CDX	EAS	2
HG01806	CDX	EAS	2
HG01807	CDX	EAS	2
HG01808	CDX	EAS	2
HG01809	CDX	EAS	2
HG01810	CDX	EAS	1
HG01811	CDX	EAS	1
HG01812	CDX	EAS	2
HG01813	CDX	EAS	2
HG01815	CDX	EAS	2
HG01816	CDX	EAS	1
HG01817	CDX	EAS	2
HG02151	CDX	EAS	2
HG02152	CDX	EAS	2
HG02153	CDX	EAS	2
HG02154	CDX	EAS	2
HG02155	CDX	EAS	2
HG02156	CDX	EAS	2
HG02164	CDX	EAS	2
HG02165	CDX	EAS	2
HG02166	CDX	EAS	2
HG02168	CDX	EAS	2
HG02169	CDX	EAS	2
HG02170	CDX	EAS	2
HG02173	CDX	EAS	2
HG02176	CDX	EAS	2
HG02178	CDX	EAS	2
HG02179	CDX	EAS	2
HG02180	CDX	EAS	2
HG02181	CDX	EAS	2
HG02182	CDX	EAS	2
HG02184	CDX	EAS	2
HG02185	CDX	EAS	2
HG02186	CDX	EAS	2
HG02187	CDX	EAS	2
HG02188	CDX	EAS	2
HG02189	CDX	EAS	2
HG02190	CDX	EAS	2
HG02250	CDX	EAS	1
HG02351	CDX	EAS	1
HG02353	CDX	EAS	1
HG02355	CDX	EAS	1
HG02356	CDX	EAS	1
HG02358	CDX	EAS	1
HG02360	CDX	EAS	1
HG02363	CDX	EAS	1
HG02364	CDX	EAS	1
HG02367	CDX	EAS	1
HG02373	CDX	EAS	1
HG02374	CDX	EAS	1
HG02375	CDX	EAS	1
HG02377	CDX	EAS	1
HG02379	CDX	EAS	1
HG02380	CDX	EAS	1
HG02381	CDX	EAS	1
HG02382	CDX	EAS	1
HG02383	CDX	EAS	1
HG02384	CDX	EAS	1
HG02385	CDX	EAS	1
HG02386	CDX	EAS	1
HG02387	CDX	EAS	1
HG02388	CDX	EAS	1
HG02389	CDX	EAS	1
HG02390	CDX	EAS	1
HG02391	CDX	EAS	1
HG02392	CDX	EAS	1
HG02394	CDX	EAS	1
HG02395	CDX	EAS	1
HG02396	CDX	EAS	1
HG02397	CDX	EAS	1
HG02398	CDX	EAS	1
HG02399	CDX	EAS	1
HG02401	CDX	EAS	1
HG02402	CDX	EAS	1
HG02405	CDX	EAS	1
HG02406	CDX	EAS	1
HG02407	CDX	EAS	1
HG02408	CDX	EAS	1
HG02409	CDX	EAS	1
HG02410	CDX	EAS	1
NA06984	CEU	EUR	1
NA06989	CEU	EUR	2
NA12329	CEU	EUR	2
NA12344	CEU	EUR	1
NA12347	CEU	EUR	1
NA12348	CEU	EUR	2
NA06986	CEU	EUR	1
NA06995	CEU	EUR	1
NA06997	CEU	EUR	2
NA07037	CEU	EUR	2
NA07045	CEU	EUR	2
NA07435	CEU	EUR	1
NA07014	CEU	EUR	2
NA07031	CEU	EUR	2
NA07051	CEU	EUR	1
NA12335	CEU	EUR	1
NA12336	CEU	EUR	2
NA12340	CEU	EUR	1
NA12341	CEU	EUR	2
NA12342	CEU	EUR	1
NA12343	CEU	EUR	2
NA07340	CEU	EUR	2
NA10846	CEU	EUR	1
NA10847	CEU	EUR	2
NA12144	CEU	EUR	1
NA12145	CEU	EUR	2
NA12146	CEU	EUR	1
NA12239	CEU	EUR	2
NA06994	CEU	EUR	1
NA07000	CEU	EUR	2
NA07019	CEU	EUR	2
NA07022	CEU	EUR	1
NA07029	CEU	EUR	1
NA07056	CEU	EUR	2
NA06985	CEU	EUR	2
NA06991	CEU	EUR	2
NA06993	CEU	EUR	1
NA07034	CEU	EUR	1
NA07048	CEU	EUR	1
NA07055	CEU	EUR	2
NA10850	CEU	EUR	2
NA10851	CEU	EUR	1
NA12056	CEU	EUR	1
NA12057	CEU	EUR	2
NA12058	CEU	EUR	2
NA07345	CEU	EUR	2
NA07346	CEU	EUR	2
NA07347	CEU	EUR	1
NA07348	CEU	EUR	2
NA07349	CEU	EUR	1
NA07357	CEU	EUR	1
NA10852	CEU	EUR	2
NA10857	CEU	EUR	1
NA12043	CEU	EUR	1
NA12044	CEU	EUR	2
NA12045	CEU	EUR	1
NA12046	CEU	EUR	2
NA10859	CEU	EUR	2
NA11881	CEU	EUR	1
NA11882	CEU	EUR	2
NA10853	CEU	EUR	1
NA10854	CEU	EUR	2
NA11839	CEU	EUR	1
NA11840	CEU	EUR	2
NA11843	CEU	EUR	1
NA10855	CEU	EUR	2
NA10856	CEU	EUR	1
NA11829	CEU	EUR	1
NA11830	CEU	EUR	2
NA11831	CEU	EUR	1
NA11832	CEU	EUR	2
NA12375	CEU	EUR	1
NA12376	CEU	EUR	2
NA12383	CEU	EUR	2
NA12489	CEU	EUR	2
NA12546	CEU	EUR	1
NA12386	CEU	EUR	2
NA12399	CEU	EUR	1
NA12400	CEU	EUR	2
NA12413	CEU	EUR	1
NA12414	CEU	EUR	2
NA12485	CEU	EUR	1
NA12707	CEU	EUR	1
NA12708	CEU	EUR	2
NA12716	CEU	EUR	1
NA12717	CEU	EUR	2
NA12718	CEU	EUR	2
NA10860	CEU	EUR	1
NA10861	CEU	EUR	2
NA11992	CEU	EUR	1
NA11993	CEU	EUR	2
NA11994	CEU	EUR	1
NA11995	CEU	EUR	2
NA10863	CEU	EUR	2
NA12234	CEU	EUR	2
NA12264	CEU	EUR	1
NA10864	CEU	EUR	2
NA10865	CEU	EUR	1
NA11891	CEU	EUR	1
NA11892	CEU	EUR	2
NA11893	CEU	EUR	1
NA11894	CEU	EUR	2
NA10830	CEU	EUR	1
NA10831	CEU	EUR	2
NA12154	CEU	EUR	1
NA12155	CEU	EUR	1
NA12156	CEU	EUR	2
NA12236	CEU	EUR	2
NA10835	CEU	EUR	1
NA12248	CEU	EUR	1
NA12249	CEU	EUR	2
NA10836	CEU	EUR	2
NA10837	CEU	EUR	1
NA12272	CEU	EUR	1
NA12273	CEU	EUR	2
NA12274	CEU	EUR	1
NA12275	CEU	EUR	2
NA10838	CEU	EUR	1
NA10839	CEU	EUR	2
NA12003	CEU	EUR	1
NA12004	CEU	EUR	2
NA12005	CEU	EUR	1
NA12006	CEU	EUR	2
NA10840	CEU	EUR	2
NA12286	CEU	EUR	1
NA12287	CEU	EUR	2
NA12282	CEU	EUR	1
NA12283	CEU	EUR	2
NA10842	CEU	EUR	1
NA10843	CEU	EUR	2
NA11917	CEU	EUR	1
NA11918	CEU	EUR	2
NA11919	CEU	EUR	1
NA11920	CEU	EUR	2
NA10845	CEU	EUR	1
NA11930	CEU	EUR	1
NA11931	CEU	EUR	2
NA11932	CEU	EUR	1
NA11933	CEU	EUR	2
NA12739	CEU	EUR	1
NA12740	CEU	EUR	2
NA12748	CEU	EUR	1
NA12749	CEU	EUR	2
NA12750	CEU	EUR	1
NA12751	CEU	EUR	2
NA12752	CEU	EUR	1
NA12753	CEU	EUR	2
NA12760	CEU	EUR	1
NA12761	CEU	EUR	2
NA12762	CEU	EUR	1
NA12763	CEU	EUR	2
NA12766	CEU	EUR	1
NA12767	CEU	EUR	2
NA12775	CEU	EUR	1
NA12776	CEU	EUR	2
NA12777	CEU	EUR	1
NA12778	CEU	EUR	2
NA12801	CEU	EUR	1
NA12802	CEU	EUR	2
NA12812	CEU	EUR	1
NA12813	CEU	EUR	2
NA12814	CEU	EUR	1
NA12815	CEU	EUR	2
NA12817	CEU	EUR	1
NA12818	CEU	EUR	2
NA12827	CEU	EUR	1
NA12828	CEU	EUR	2
NA12829	CEU	EUR	1
NA12830	CEU	EUR	2
NA12832	CEU	EUR	2
NA12842	CEU	EUR	1
NA12843	CEU	EUR	2
NA12864	CEU	EUR	1
NA12865	CEU	EUR	2
NA12872	CEU	EUR	1
NA12873	CEU	EUR	2
NA12874	CEU	EUR	1
NA12875	CEU	EUR	2
NA12877	CEU	EUR	1
NA12878	CEU	EUR	2
NA12889	CEU	EUR	1
NA12890	CEU	EUR	2
NA12891	CEU	EUR	1
NA12892	CEU	EUR	2
NA18525	CHB	EAS	2
NA18526	CHB	EAS	2
NA18527	CHB	EAS	2
NA18528	CHB	EAS	2
NA18530	CHB	EAS	1
NA18531	CHB	EAS	2
NA18532	CHB	EAS	2
NA18533	CHB	EAS	2
NA18534	CHB	EAS	1
NA18535	CHB	EAS	2
NA18536	CHB	EAS	1
NA18537	CHB	EAS	2
NA18538	CHB	EAS	2
NA18539	CHB	EAS	2
NA18541	CHB	EAS	2
NA18542	CHB	EAS	2
NA18543	CHB	EAS	1
NA18544	CHB	EAS	1
NA18545	CHB	EAS	2
NA18546	CHB	EAS	1
NA18547	CHB	EAS	2
NA18548	CHB	EAS	1
NA18549	CHB	EAS	1
NA18550	CHB	EAS	2
NA18552	CHB	EAS	2
NA18553	CHB	EAS	2
NA18555	CHB	EAS	2
NA18557	CHB	EAS	1
NA18558	CHB	EAS	1
NA18559	CHB	EAS	1
NA18560	CHB	EAS	2
NA18561	CHB	EAS	1
NA18562	CHB	EAS	1
NA18563	CHB	EAS	1
NA18564	CHB	EAS	2
NA18565	CHB	EAS	2
NA18566	CHB	EAS	2
NA18567	CHB	EAS	2
NA18570	CHB	EAS	2
NA18571	CHB	EAS	2
NA18572	CHB	EAS	1
NA18573	CHB	EAS	2
NA18574	CHB	EAS	2
NA18576	CHB	EAS	2
NA18577	CHB	EAS	2
NA18579	CHB	EAS	2
NA18582	CHB	EAS	2
NA18591	CHB	EAS	2
NA18592	CHB	EAS	2
NA18593	CHB	EAS	2
NA18595	CHB	EAS	2
NA18596	CHB	EAS	2
NA18597	CHB	EAS	2
NA18599	CHB	EAS	2
NA18602	CHB	EAS	2
NA18603	CHB	EAS	1
NA18605	CHB	EAS	1
NA18606	CHB	EAS	1
NA18608	CHB	EAS	1
NA18609	CHB	EAS	1
NA18610	CHB	EAS	2
NA18611	CHB	EAS	1
NA18612	CHB	EAS	1
NA18613	CHB	EAS	1
NA18614	CHB	EAS	2
NA18615	CHB	EAS	2
NA18616	CHB	EAS	2
NA18617	CHB	EAS	2
NA18618	CHB	EAS	2
NA18619	CHB	EAS	2
NA18620	CHB	EAS	1
NA18621	CHB	EAS	1
NA18622	CHB	EAS	1
NA18623	CHB	EAS	1
NA18624	CHB	EAS	1
NA18625	CHB	EAS	2
NA18626	CHB	EAS	2
NA18627	CHB	EAS	2
NA18628	CHB	EAS	2
NA18629	CHB	EAS	1
NA18630	CHB	EAS	2
NA18631	CHB	EAS	2
NA18632	CHB	EAS	1
NA18633	CHB	EAS	1
NA18634	CHB	EAS	2
NA18635	CHB	EAS	1
NA18636	CHB	EAS	1
NA18637	CHB	EAS	1
NA18638	CHB	EAS	1
NA18639	CHB	EAS	1
NA18640	CHB	EAS	2
NA18641	CHB	EAS	2
NA18642	CHB	EAS	2
NA18643	CHB	EAS	1
NA18644	CHB	EAS	2
NA18645	CHB	EAS	1
NA18646	CHB	EAS	2
NA18647	CHB	EAS	1
NA18648	CHB	EAS	1
NA18740	CHB	EAS	1
NA18745	CHB	EAS	1
NA18747	CHB	EAS	1
NA18748	CHB	EAS	1
NA18749	CHB	EAS	1
NA18757	CHB	EAS	1
NA18791	CHB	EAS	1
NA18794	CHB	EAS	1
NA18795	CHB	EAS	2
HG00403	CHS	EAS	1
HG00404	CHS	EAS	2
HG00405	CHS	EAS	2
HG00406	CHS	EAS	1
HG00407	CHS	EAS	2
HG00408	CHS	EAS	2
HG00409	CHS	EAS	1
HG00410	CHS	EAS	2
HG00411	CHS	EAS	1
HG00418	CHS	EAS	1
HG00419	CHS	EAS	2
HG00420	CHS	EAS	1
HG00421	CHS	EAS	1
HG00422	CHS	EAS	2
HG00423	CHS	EAS	2
HG00427	CHS	EAS	1
HG00428	CHS	EAS	2
HG00429	CHS	EAS	1
HG00436	CHS	EAS	1
HG00437	CHS	EAS	2
HG00438	CHS	EAS	2
HG00442	CHS	EAS	1
HG00443	CHS	EAS	2
HG00444	CHS	EAS	1
HG00445	CHS	EAS	1
HG00446	CHS	EAS	2
HG00447	CHS	EAS	2
HG00448	CHS	EAS	1
HG00449	CHS	EAS	2
HG00450	CHS	EAS	2
HG00451	CHS	EAS	1
HG00452	CHS	EAS	2
HG00453	CHS	EAS	2
HG00457	CHS	EAS	1
HG00458	CHS	EAS	2
HG00459	CHS	EAS	1
HG00463	CHS	EAS	1
HG00464	CHS	EAS	2
HG00465	CHS	EAS	1
HG00472	CHS	EAS	1
HG00473	CHS	EAS	2
HG00474	CHS	EAS	1
HG00475	CHS	EAS	1
HG00476	CHS	EAS	2
HG00477	CHS	EAS	1
HG00478	CHS	EAS	1
HG00479	CHS	EAS	2
HG00480	CHS	EAS	1
HG00500	CHS	EAS	1
HG00501	CHS	EAS	2
HG00502	CHS	EAS	1
HG00512	CHS	EAS	1
HG00513	CHS	EAS	2
HG00514	CHS	EAS	2
HG00524	CHS	EAS	1
HG00525	CHS	EAS	2
HG00526	CHS	EAS	1
HG00530	CHS	EAS	1
HG00531	CHS	EAS	2
HG00532	CHS	EAS	1
HG00533	CHS	EAS	1
HG00534	CHS	EAS	2
HG00535	CHS	EAS	1
HG00536	CHS	EAS	1
HG00537	CHS	EAS	2
HG00538	CHS	EAS	1
HG00542	CHS	EAS	1
HG00543	CHS	EAS	2
HG00544	CHS	EAS	2
HG00556	CHS	EAS	1
HG00557	CHS	EAS	2
HG00558	CHS	EAS	2
HG00559	CHS	EAS	1
HG00560	CHS	EAS	2
HG00561	CHS	EAS	2
HG00565	CHS	EAS	1
HG00566	CHS	EAS	2
HG00567	CHS	EAS	1
HG00577	CHS	EAS	1
HG00578	CHS	EAS	2
HG00579	CHS	EAS	2
HG00580	CHS	EAS	1
HG00581	CHS	EAS	2
HG00582	CHS	EAS	2
HG00583	CHS	EAS	1
HG00584	CHS	EAS	2
HG00585	CHS	EAS	2
HG00589	CHS	EAS	1
HG00590	CHS	EAS	2
HG00591	CHS	EAS	1
HG00592	CHS	EAS	1
HG00593	CHS	EAS	2
HG00594	CHS	EAS	1
HG00595	CHS	EAS	1
