sample	pop	contgroup	sex
NA19779	MXL	AMR	2
NA19780	MXL	AMR	1
NA19781	MXL	AMR	2
NA19782	MXL	AMR	2
NA19783	MXL	AMR	1
NA19784	MXL	AMR	1
NA19788	MXL	AMR	2
NA19789	MXL	AMR	1
NA19790	MXL	AMR	2
NA19794	MXL	AMR	2
NA19795	MXL	AMR	1
NA19796	MXL	AMR	1
HG01565	PEL	AMR	1
HG01566	PEL	AMR	2
HG01567	PEL	AMR	2
HG01571	PEL	AMR	1
HG01572	PEL	AMR	2
HG01573	PEL	AMR	2
HG01577	PEL	AMR	1
HG01578	PEL	AMR	2
HG01579	PEL	AMR	1
HG01917	PEL	AMR	1
HG01918	PEL	AMR	2
HG01919	PEL	AMR	2
HG01892	PEL	AMR	1
HG01893	PEL	AMR	2
HG01898	PEL	AMR	2
HG01920	PEL	AMR	1
HG01921	PEL	AMR	2
HG01922	PEL	AMR	2
HG01923	PEL	AMR	1
HG01924	PEL	AMR	2
HG01925	PEL	AMR	2
HG01926	PEL	AMR	1
HG01927	PEL	AMR	2
HG01928	PEL	AMR	1
HG01932	PEL	AMR	1
HG01933	PEL	AMR	2
HG01934	PEL	AMR	1
HG01935	PEL	AMR	1
HG01936	PEL	AMR	2
HG01937	PEL	AMR	1
HG01938	PEL	AMR	1
HG01939	PEL	AMR	2
HG01940	PEL	AMR	2
HG01941	PEL	AMR	1
HG01942	PEL	AMR	2
HG01943	PEL	AMR	1
HG01944	PEL	AMR	1
HG01945	PEL	AMR	2
HG01946	PEL	AMR	1
HG01947	PEL	AMR	1
HG01948	PEL	AMR	2
HG01949	PEL	AMR	2
HG01950	PEL	AMR	1
HG01951	PEL	AMR	2
HG01952	PEL	AMR	1
HG01953	PEL	AMR	1
HG01954	PEL	AMR	2
HG01955	PEL	AMR	2
HG01967	PEL	AMR	1
HG01968	PEL	AMR	2
HG01969	PEL	AMR	2
HG01970	PEL	AMR	1
HG01971	PEL	AMR	2
HG01972	PEL	AMR	2
HG01961	PEL	AMR	1
HG01965	PEL	AMR	2
HG01973	PEL	AMR	2
HG01974	PEL	AMR	1
HG01975	PEL	AMR	2
HG01976	PEL	AMR	2
HG01977	PEL	AMR	1
HG01978	PEL	AMR	2
HG01979	PEL	AMR	1
HG01980	PEL	AMR	2
HG01981	PEL	AMR	2
HG01982	PEL	AMR	1
HG01983	PEL	AMR	2
HG01984	PEL	AMR	1
HG01991	PEL	AMR	1
HG01992	PEL	AMR	2
HG01993	PEL	AMR	2
HG01995	PEL	AMR	2
HG01997	PEL	AMR	2
HG01998	PEL	AMR	1
HG02008	PEL	AMR	1
HG02002	PEL	AMR	1
HG02003	PEL	AMR	2
HG02004	PEL	AMR	2
HG02006	PEL	AMR	2
HG02089	PEL	AMR	2
HG02090	PEL	AMR	1
HG02091	PEL	AMR	2
HG02102	PEL	AMR	2
HG02104	PEL	AMR	1
HG02105	PEL	AMR	2
HG02106	PEL	AMR	2
HG02146	PEL	AMR	1
HG02147	PEL	AMR	2
HG02148	PEL	AMR	2
HG02150	PEL	AMR	1
HG02252	PEL	AMR	2
HG02253	PEL	AMR	1
HG02254	PEL	AMR	2
HG02259	PEL	AMR	1
HG02260	PEL	AMR	2
HG02261	PEL	AMR	1
HG02262	PEL	AMR	1
HG02265	PEL	AMR	1
HG02266	PEL	AMR	2
HG02267	PEL	AMR	2
HG02271	PEL	AMR	1
HG02272	PEL	AMR	2
HG02273	PEL	AMR	2
HG02274	PEL	AMR	1
HG02275	PEL	AMR	2
HG02276	PEL	AMR	2
HG02277	PEL	AMR	1
HG02278	PEL	AMR	2
HG02279	PEL	AMR	1
HG02285	PEL	AMR	1
HG02286	PEL	AMR	2
HG02287	PEL	AMR	2
HG02288	PEL	AMR	1
HG02291	PEL	AMR	1
HG02292	PEL	AMR	2
HG02293	PEL	AMR	2
HG02298	PEL	AMR	2
HG02299	PEL	AMR	1
HG02300	PEL	AMR	1
HG02301	PEL	AMR	2
HG02302	PEL	AMR	1
HG02303	PEL	AMR	2
HG02304	PEL	AMR	1
HG02312	PEL	AMR	2
HG02344	PEL	AMR	1
HG02345	PEL	AMR	2
HG02347	PEL	AMR	1
HG02348	PEL	AMR	2
HG02415	PEL	AMR	2
HG02425	PEL	AMR	2
HG03022	PJL	SAS	2
HG01583	PJL	SAS	1
HG01586	PJL	SAS	1
HG01589	PJL	SAS	1
HG01590	PJL	SAS	2
HG01593	PJL	SAS	2
HG01594	PJL	SAS	1
HG02490	PJL	SAS	1
HG02491	PJL	SAS	2
HG02492	PJL	SAS	1
HG02493	PJL	SAS	1
HG02494	PJL	SAS	2
HG02495	PJL	SAS	2
HG02597	PJL	SAS	1
HG02599	PJL	SAS	1
HG02600	PJL	SAS	1
HG02601	PJL	SAS	2
HG02602	PJL	SAS	1
HG02603	PJL	SAS	1
HG02604	PJL	SAS	2
HG02605	PJL	SAS	2
HG02648	PJL	SAS	1
HG02649	PJL	SAS	2
HG02650	PJL	SAS	1
HG02651	PJL	SAS	1
HG02652	PJL	SAS	2
HG02653	PJL	SAS	2
HG02654	PJL	SAS	1
HG02655	PJL	SAS	2
HG02656	PJL	SAS	1
HG02657	PJL	SAS	1
HG02658	PJL	SAS	2
HG02659	PJL	SAS	2
HG02660	PJL	SAS	1
HG02661	PJL	SAS	2
HG02662	PJL	SAS	2
HG02681	PJL	SAS	1
HG02682	PJL	SAS	2
HG02683	PJL	SAS	2
HG02684	PJL	SAS	1
HG02685	PJL	SAS	2
HG02686	PJL	SAS	1
HG02687	PJL	SAS	1
HG02688	PJL	SAS	2
HG02689	PJL	SAS	1
HG02690	PJL	SAS	1
HG02691	PJL	SAS	2
HG02692	PJL	SAS	2
HG02694	PJL	SAS	2
HG02696	PJL	SAS	1
HG02697	PJL	SAS	2
HG02698	PJL	SAS	1
HG02699	PJL	SAS	1
HG02700	PJL	SAS	2
HG02701	PJL	SAS	1
HG02724	PJL	SAS	1
HG02725	PJL	SAS	2
HG02726	PJL	SAS	2
HG02727	PJL	SAS	1
HG02728	PJL	SAS	2
HG02729	PJL	SAS	1
HG02731	PJL	SAS	2
HG02733	PJL	SAS	1
HG02734	PJL	SAS	2
HG02735	PJL	SAS	1
HG02736	PJL	SAS	1
HG02737	PJL	SAS	2
HG02738	PJL	SAS	1
HG02774	PJL	SAS	1
HG02775	PJL	SAS	2
HG02776	PJL	SAS	2
HG02778	PJL	SAS	2
HG02779	PJL	SAS	1
HG02780	PJL	SAS	1
HG02781	PJL	SAS	2
HG02783	PJL	SAS	1
HG02784	PJL	SAS	2
HG02785	PJL	SAS	2
HG02786	PJL	SAS	1
HG02787	PJL	SAS	2
HG02788	PJL	SAS	2
HG02789	PJL	SAS	1
HG02790	PJL	SAS	2
HG02791	PJL	SAS	1
HG02792	PJL	SAS	1
HG02793	PJL	SAS	2
HG02794	PJL	SAS	1
HG03015	PJL	SAS	1
HG03016	PJL	SAS	2
HG03017	PJL	SAS	1
HG03018	PJL	SAS	1
HG03019	PJL	SAS	2
HG03021	PJL	SAS	1
HG03023	PJL	SAS	1
HG03228	PJL	SAS	1
HG03229	PJL	SAS	2
HG03230	PJL	SAS	2
HG03234	PJL	SAS	1
HG03235	PJL	SAS	2
HG03236	PJL	SAS	2
HG03237	PJL	SAS	1
HG03238	PJL	SAS	2
HG03239	PJL	SAS	2
HG03487	PJL	SAS	1
HG03488	PJL	SAS	2
HG03489	PJL	SAS	1
HG03490	PJL	SAS	1
HG03491	PJL	SAS	2
HG03492	PJL	SAS	1
HG03618	PJL	SAS	1
HG03619	PJL	SAS	2
HG03620	PJL	SAS	2
HG03621	PJL	SAS	1
HG03624	PJL	SAS	1
HG03625	PJL	SAS	2
HG03626	PJL	SAS	2
HG03629	PJL	SAS	1
HG03631	PJL	SAS	2
HG03633	PJL	SAS	1
HG03634	PJL	SAS	2
HG03635	PJL	SAS	2
HG03636	PJL	SAS	1
HG03638	PJL	SAS	2
HG03639	PJL	SAS	1
HG03640	PJL	SAS	2
HG03641	PJL	SAS	1
HG03649	PJL	SAS	1
HG03650	PJL	SAS	2
HG03651	PJL	SAS	1
HG03652	PJL	SAS	1
HG03653	PJL	SAS	2
HG03654	PJL	SAS	1
HG03656	PJL	SAS	2
HG03657	PJL	SAS	1
HG03660	PJL	SAS	1
HG03663	PJL	SAS	1
HG03667	PJL	SAS	1
HG03668	PJL	SAS	2
HG03669	PJL	SAS	2
HG03699	PJL	SAS	1
HG03700	PJL	SAS	2
HG03701	PJL	SAS	1
HG03702	PJL	SAS	1
HG03703	PJL	SAS	2
HG03704	PJL	SAS	2
HG03705	PJL	SAS	1
HG03706	PJL	SAS	2
HG03707	PJL	SAS	1
HG03708	PJL	SAS	1
HG03709	PJL	SAS	2
HG03710	PJL	SAS	1
HG03761	PJL	SAS	1
HG03762	PJL	SAS	2
HG03763	PJL	SAS	1
HG03765	PJL	SAS	2
HG03766	PJL	SAS	1
HG03767	PJL	SAS	1
HG03769	PJL	SAS	1
HG00551	PUR	AMR	2
HG00552	PUR	AMR	1
HG01075	PUR	AMR	1
HG00553	PUR	AMR	1
HG00554	PUR	AMR	2
HG00555	PUR	AMR	2
HG00637	PUR	AMR	1
HG00638	PUR	AMR	2
HG00639	PUR	AMR	2
HG00640	PUR	AMR	1
HG00641	PUR	AMR	2
HG00642	PUR	AMR	1
HG00731	PUR	AMR	1
HG00732	PUR	AMR	2
HG00733	PUR	AMR	2
HG00734	PUR	AMR	2
HG00735	PUR	AMR	2
HG01047	PUR	AMR	1
HG00736	PUR	AMR	1
HG00737	PUR	AMR	2
HG00738	PUR	AMR	1
HG01048	PUR	AMR	1
HG01049	PUR	AMR	2
HG01050	PUR	AMR	2
HG00739	PUR	AMR	1
HG00740	PUR	AMR	2
HG00741	PUR	AMR	2
HG00742	PUR	AMR	1
HG00743	PUR	AMR	2
HG01051	PUR	AMR	1
HG01052	PUR	AMR	2
HG01053	PUR	AMR	2
HG01054	PUR	AMR	1
HG01055	PUR	AMR	2
HG01056	PUR	AMR	1
HG01058	PUR	AMR	2
HG01060	PUR	AMR	1
HG01061	PUR	AMR	2
HG01062	PUR	AMR	2
HG01063	PUR	AMR	1
HG01064	PUR	AMR	2
HG01066	PUR	AMR	1
HG01067	PUR	AMR	2
HG01068	PUR	AMR	2
HG01069	PUR	AMR	1
HG01070	PUR	AMR	2
HG01071	PUR	AMR	2
HG01072	PUR	AMR	1
HG01073	PUR	AMR	2
HG01074	PUR	AMR	1
HG01101	PUR	AMR	1
HG01102	PUR	AMR	2
HG01103	PUR	AMR	2
HG01077	PUR	AMR	2
HG01079	PUR	AMR	1
HG01080	PUR	AMR	2
HG01081	PUR	AMR	2
HG01241	PUR	AMR	1
HG01242	PUR	AMR	2
HG01243	PUR	AMR	1
HG01170	PUR	AMR	1
HG01171	PUR	AMR	2
HG01172	PUR	AMR	1
HG01104	PUR	AMR	1
HG01105	PUR	AMR	2
HG01106	PUR	AMR	1
HG01085	PUR	AMR	1
HG01086	PUR	AMR	2
HG01087	PUR	AMR	2
HG01088	PUR	AMR	1
HG01089	PUR	AMR	2
HG01090	PUR	AMR	1
HG01082	PUR	AMR	1
HG01083	PUR	AMR	2
HG01084	PUR	AMR	2
HG01094	PUR	AMR	1
HG01095	PUR	AMR	2
HG01096	PUR	AMR	1
HG01092	PUR	AMR	2
HG01097	PUR	AMR	1
HG01098	PUR	AMR	2
HG01099	PUR	AMR	1
HG01100	PUR	AMR	2
HG01247	PUR	AMR	1
HG01248	PUR	AMR	2
HG01107	PUR	AMR	1
HG01108	PUR	AMR	2
HG01109	PUR	AMR	1
HG01110	PUR	AMR	1
HG01111	PUR	AMR	2
HG01249	PUR	AMR	2
HG01161	PUR	AMR	1
HG01162	PUR	AMR	2
HG01173	PUR	AMR	1
HG01174	PUR	AMR	2
HG01175	PUR	AMR	2
HG01164	PUR	AMR	1
HG01187	PUR	AMR	1
HG01188	PUR	AMR	2
HG01189	PUR	AMR	1
HG01167	PUR	AMR	1
HG01168	PUR	AMR	2
HG01169	PUR	AMR	2
HG01190	PUR	AMR	1
HG01191	PUR	AMR	2
HG01192	PUR	AMR	1
HG01176	PUR	AMR	1
HG01177	PUR	AMR	2
HG01178	PUR	AMR	1
HG01182	PUR	AMR	1
HG01183	PUR	AMR	2
HG01184	PUR	AMR	2
HG01195	PUR	AMR	2
HG01197	PUR	AMR	1
HG01198	PUR	AMR	2
HG01199	PUR	AMR	1
HG01200	PUR	AMR	1
HG01204	PUR	AMR	1
HG01205	PUR	AMR	2
HG01206	PUR	AMR	1
HG01286	PUR	AMR	1
HG01301	PUR	AMR	2
HG01302	PUR	AMR	1
HG01303	PUR	AMR	2
HG01305	PUR	AMR	1
HG01308	PUR	AMR	1
HG01311	PUR	AMR	1
HG01312	PUR	AMR	2
HG01411	PUR	AMR	1
HG01322	PUR	AMR	1
HG01323	PUR	AMR	2
HG01324	PUR	AMR	2
HG01325	PUR	AMR	1
HG01326	PUR	AMR	2
HG01327	PUR	AMR	1
HG01392	PUR	AMR	1
HG01393	PUR	AMR	2
HG01394	PUR	AMR	2
HG01395	PUR	AMR	1
HG01396	PUR	AMR	2
HG01397	PUR	AMR	2
HG01398	PUR	AMR	1
HG01402	PUR	AMR	1
HG01403	PUR	AMR	2
HG01404	PUR	AMR	2
HG01405	PUR	AMR	1
HG01412	PUR	AMR	1
HG01413	PUR	AMR	1
HG01414	PUR	AMR	2
HG01415	PUR	AMR	2
HG03646	STU	SAS	1
HG03645	STU	SAS	2
HG03643	STU	SAS	2
HG03644	STU	SAS	1
HG03642	STU	SAS	2
HG03679	STU	SAS	1
HG04204	STU	SAS	1
HG04215	STU	SAS	1
HG03999	STU	SAS	1
HG03672	STU	SAS	1
HG03680	STU	SAS	1
HG03673	STU	SAS	2
HG03948	STU	SAS	2
HG04040	STU	SAS	1
HG03681	STU	SAS	1
HG03682	STU	SAS	1
HG03683	STU	SAS	2
HG03684	STU	SAS	2
HG03685	STU	SAS	1
HG03951	STU	SAS	2
HG03686	STU	SAS	1
HG03687	STU	SAS	1
HG03688	STU	SAS	1
HG03885	STU	SAS	1
HG03886	STU	SAS	2
HG03689	STU	SAS	2
HG03690	STU	SAS	2
HG03691	STU	SAS	1
HG03692	STU	SAS	2
HG03693	STU	SAS	1
HG03995	STU	SAS	2
HG03694	STU	SAS	1
HG03695	STU	SAS	1
HG03696	STU	SAS	1
HG03835	STU	SAS	2
HG03840	STU	SAS	1
HG03697	STU	SAS	1
HG03698	STU	SAS	2
HG03711	STU	SAS	1
HG03740	STU	SAS	1
HG03741	STU	SAS	2
HG03884	STU	SAS	2
HG03733	STU	SAS	2
HG03736	STU	SAS	2
HG03738	STU	SAS	1
HG03743	STU	SAS	1
HG03757	STU	SAS	2
HG03744	STU	SAS	1
HG03745	STU	SAS	1
HG03746	STU	SAS	1
HG03888	STU	SAS	2
HG03750	STU	SAS	1
HG03754	STU	SAS	2
HG03755	STU	SAS	1
HG03756	STU	SAS	2
HG03752	STU	SAS	2
HG03753	STU	SAS	1
HG03760	STU	SAS	2
HG03836	STU	SAS	2
HG03842	STU	SAS	2
HG03844	STU	SAS	1
HG04033	STU	SAS	1
HG03838	STU	SAS	2
HG04006	STU	SAS	1
HG03837	STU	SAS	1
HG03846	STU	SAS	1
HG03845	STU	SAS	1
HG03849	STU	SAS	2
HG03850	STU	SAS	1
HG03847	STU	SAS	1
HG03848	STU	SAS	1
HG03851	STU	SAS	1
HG03858	STU	SAS	2
HG03950	STU	SAS	1
HG03857	STU	SAS	2
HG03982	STU	SAS	1
HG03856	STU	SAS	1
HG03854	STU	SAS	1
HG04035	STU	SAS	2
HG03887	STU	SAS	1
HG03986	STU	SAS	2
HG03895	STU	SAS	2
HG03890	STU	SAS	1
HG03894	STU	SAS	2
HG03896	STU	SAS	1
HG04115	STU	SAS	1
HG03898	STU	SAS	2
HG03899	STU	SAS	1
HG03897	STU	SAS	2
HG03900	STU	SAS	1
HG03943	STU	SAS	1
HG03944	STU	SAS	2
HG03992	STU	SAS	1
HG04036	STU	SAS	2
HG04067	STU	SAS	2
HG03945	STU	SAS	2
HG03947	STU	SAS	2
HG03955	STU	SAS	2
HG04114	STU	SAS	1
HG03953	STU	SAS	1
HG03949	STU	SAS	2
HG03990	STU	SAS	1
HG03991	STU	SAS	1
HG03985	STU	SAS	1
HG03988	STU	SAS	1
HG03989	STU	SAS	2
HG03998	STU	SAS	1
HG04003	STU	SAS	1
HG04029	STU	SAS	2
HG04197	STU	SAS	2
HG04037	STU	SAS	2
HG04038	STU	SAS	2
HG04042	STU	SAS	2
HG04039	STU	SAS	1
HG04047	STU	SAS	2
HG04106	STU	SAS	2
HG04107	STU	SAS	1
HG04208	STU	SAS	2
HG04210	STU	SAS	1
HG04075	STU	SAS	2
HG04122	STU	SAS	1
HG04127	STU	SAS	1
HG04099	STU	SAS	2
HG04100	STU	SAS	1
HG04199	STU	SAS	1
HG04227	STU	SAS	2
HG04228	STU	SAS	1
HG04229	STU	SAS	1
NA20502	TSI	EUR	2
NA20503	TSI	EUR	2
NA20504	TSI	EUR	2
NA20505	TSI	EUR	2
NA20506	TSI	EUR	2
NA20507	TSI	EUR	2
NA20508	TSI	EUR	2
NA20509	TSI	EUR	1
NA20510	TSI	EUR	1
NA20511	TSI	EUR	1
NA20512	TSI	EUR	1
NA20513	TSI	EUR	1
NA20514	TSI	EUR	2
NA20515	TSI	EUR	1
NA20516	TSI	EUR	1
NA20517	TSI	EUR	2
NA20518	TSI	EUR	1
NA20519	TSI	EUR	1
NA20520	TSI	EUR	1
NA20521	TSI	EUR	1
NA20522	TSI	EUR	2
NA20524	TSI	EUR	1
NA20525	TSI	EUR	1
NA20526	TSI	EUR	2
NA20527	TSI	EUR	1
NA20528	TSI	EUR	1
NA20529	TSI	EUR	2
NA20530	TSI	EUR	2
NA20531	TSI	EUR	2
NA20532	TSI	EUR	1
NA20533	TSI	EUR	2
NA20534	TSI	EUR	1
NA20535	TSI	EUR	2
NA20536	TSI	EUR	1
NA20537	TSI	EUR	1
NA20538	TSI	EUR	1
NA20539	TSI	EUR	1
NA20540	TSI	EUR	2
NA20541	TSI	EUR	2
NA20542	TSI	EUR	2
NA20543	TSI	EUR	1
NA20544	TSI	EUR	1
NA20581	TSI	EUR	1
NA20582	TSI	EUR	2
NA20585	TSI	EUR	2
NA20586	TSI	EUR	1
NA20587	TSI	EUR	2
NA20588	TSI	EUR	1
NA20589	TSI	EUR	2
NA20752	TSI	EUR	1
NA20753	TSI	EUR	2
NA20754	TSI	EUR	1
NA20755	TSI	EUR	1
NA20756	TSI	EUR	2
NA20757	TSI	EUR	2
NA20758	TSI	EUR	1
NA20759	TSI	EUR	1
NA20760	TSI	EUR	2
NA20761	TSI	EUR	2
NA20762	TSI	EUR	1
NA20763	TSI	EUR	1
NA20764	TSI	EUR	2
NA20765	TSI	EUR	1
NA20766	TSI	EUR	2
NA20767	TSI	EUR	1
NA20768	TSI	EUR	2
NA20769	TSI	EUR	2
NA20770	TSI	EUR	1
NA20771	TSI	EUR	2
NA20772	TSI	EUR	2
NA20773	TSI	EUR	2
NA20774	TSI	EUR	2
NA20775	TSI	EUR	2
NA20778	TSI	EUR	1
NA20783	TSI	EUR	1
NA20785	TSI	EUR	1
NA20786	TSI	EUR	2
NA20787	TSI	EUR	1
NA20790	TSI	EUR	2
NA20792	TSI	EUR	1
NA20795	TSI	EUR	2
NA20796	TSI	EUR	1
NA20797	TSI	EUR	2
NA20798	TSI	EUR	1
NA20799	TSI	EUR	2
NA20800	TSI	EUR	2
NA20801	TSI	EUR	1
NA20802	TSI	EUR	2
NA20803	TSI	EUR	1
NA20804	TSI	EUR	2
NA20805	TSI	EUR	1
NA20806	TSI	EUR	1
NA20807	TSI	EUR	2
NA20808	TSI	EUR	2
NA20809	TSI	EUR	1
NA20810	TSI	EUR	1
NA20811	TSI	EUR	1
NA20812	TSI	EUR	1
NA20813	TSI	EUR	2
NA20814	TSI	EUR	1
NA20815	TSI	EUR	1
NA20816	TSI	EUR	1
NA20818	TSI	EUR	2
NA20819	TSI	EUR	2
NA20821	TSI	EUR	2
NA20822	TSI	EUR	2
NA20826	TSI	EUR	2
NA20827	TSI	EUR	1
NA20828	TSI	EUR	2
NA20829	TSI	EUR	1
NA20831	TSI	EUR	1
NA20832	TSI	EUR	2
NA18484	YRI	AFR	2
NA18486	YRI	AFR	1
NA18488	YRI	AFR	2
NA18485	YRI	AFR	1
NA18487	YRI	AFR	1
NA18489	YRI	AFR	2
NA18497	YRI	AFR	1
NA18498	YRI	AFR	1
NA18499	YRI	AFR	2
NA18500	YRI	AFR	1
NA18501	YRI	AFR	1
NA18502	YRI	AFR	2
NA18503	YRI	AFR	1
NA18504	YRI	AFR	1
NA18505	YRI	AFR	2
NA19107	YRI	AFR	1
NA19108	YRI	AFR	2
NA19109	YRI	AFR	2
NA18867	YRI	AFR	2
NA18868	YRI	AFR	1
NA18869	YRI	AFR	1
NA18506	YRI	AFR	1
NA18507	YRI	AFR	1
NA18508	YRI	AFR	2
NA18509	YRI	AFR	1
NA18511	YRI	AFR	2
NA18510	YRI	AFR	1
NA18858	YRI	AFR	2
NA18859	YRI	AFR	1
NA18860	YRI	AFR	1
NA18515	YRI	AFR	1
NA18516	YRI	AFR	1
NA18517	YRI	AFR	2
NA18518	YRI	AFR	2
NA18519	YRI	AFR	1
NA18520	YRI	AFR	2
NA18521	YRI	AFR	1
NA18522	YRI	AFR	1
NA18523	YRI	AFR	2
NA18870	YRI	AFR	2
NA18871	YRI	AFR	1
NA18872	YRI	AFR	1
NA18852	YRI	AFR	2
NA18853	YRI	AFR	1
NA18854	YRI	AFR	1
NA18873	YRI	AFR	2
NA18874	YRI	AFR	1
NA18875	YRI	AFR	2
NA18876	YRI	AFR	2
NA18877	YRI	AFR	1
NA18906	YRI	AFR	2
NA18878	YRI	AFR	2
NA18879	YRI	AFR	1
NA18881	YRI	AFR	2
NA18855	YRI	AFR	2
NA18856	YRI	AFR	1
NA18857	YRI	AFR	1
NA18861	YRI	AFR	2
NA18862	YRI	AFR	1
NA18863	YRI	AFR	1
NA19105	YRI	AFR	2
NA18907	YRI	AFR	2
NA19252	YRI	AFR	1
NA18908	YRI	AFR	1
NA18864	YRI	AFR	2
NA18865	YRI	AFR	1
NA18909	YRI	AFR	2
NA18910	YRI	AFR	1
NA18911	YRI	AFR	1
NA18912	YRI	AFR	2
NA18913	YRI	AFR	1
NA18914	YRI	AFR	1
NA18915	YRI	AFR	1
NA18916	YRI	AFR	2
NA18917	YRI	AFR	1
NA18930	YRI	AFR	2
NA18923	YRI	AFR	1
NA18924	YRI	AFR	2
NA18925	YRI	AFR	1
NA19197	YRI	AFR	2
NA19198	YRI	AFR	1
NA19199	YRI	AFR	2
NA18933	YRI	AFR	2
NA18934	YRI	AFR	1
NA18935	YRI	AFR	1
NA19184	YRI	AFR	1
NA19185	YRI	AFR	2
NA19186	YRI	AFR	1
NA19092	YRI	AFR	1
NA19093	YRI	AFR	2
NA19094	YRI	AFR	2
NA19095	YRI	AFR	2
NA19096	YRI	AFR	1
NA19097	YRI	AFR	2
NA19101	YRI	AFR	1
NA19102	YRI	AFR	2
NA19103	YRI	AFR	1
NA19137	YRI	AFR	2
NA19138	YRI	AFR	1
NA19139	YRI	AFR	1
NA19175	YRI	AFR	1
NA19176	YRI	AFR	2
NA19177	YRI	AFR	1
NA19200	YRI	AFR	1
NA19201	YRI	AFR	2
NA19202	YRI	AFR	2
NA19171	YRI	AFR	1
NA19172	YRI	AFR	2
NA19173	YRI	AFR	1
NA19203	YRI	AFR	1
NA19204	YRI	AFR	2
NA19205	YRI	AFR	1
NA19166	YRI	AFR	2
NA19209	YRI	AFR	2
NA19210	YRI	AFR	1
NA19211	YRI	AFR	1
NA19206	YRI	AFR	2
NA19207	YRI	AFR	1
NA19208	YRI	AFR	1
NA19159	YRI	AFR	2
NA19160	YRI	AFR	1
NA19161	YRI	AFR	1
NA19224	YRI	AFR	1
NA19225	YRI	AFR	2
NA19226	YRI	AFR	1
NA19221	YRI	AFR	2
NA19222	YRI	AFR	2
NA19223	YRI	AFR	1
NA19116	YRI	AFR	2
NA19119	YRI	AFR	1
NA19120	YRI	AFR	1
NA19121	YRI	AFR	1
NA19122	YRI	AFR	2
NA19123	YRI	AFR	1
NA19254	YRI	AFR	2
NA19140	YRI	AFR	2
NA19141	YRI	AFR	1
NA19142	YRI	AFR	1
NA19152	YRI	AFR	2
NA19153	YRI	AFR	1
NA19154	YRI	AFR	1
NA19149	YRI	AFR	2
NA19150	YRI	AFR	1
NA19151	YRI	AFR	2
NA19143	YRI	AFR	2
NA19144	YRI	AFR	1
NA19145	YRI	AFR	1
NA19146	YRI	AFR	1
NA19147	YRI	AFR	2
NA19148	YRI	AFR	2
NA19127	YRI	AFR	2
NA19128	YRI	AFR	1
NA19129	YRI	AFR	2
NA19113	YRI	AFR	1
NA19114	YRI	AFR	2
NA19115	YRI	AFR	2
NA19104	YRI	AFR	1
NA19256	YRI	AFR	1
NA19257	YRI	AFR	2
NA19258	YRI	AFR	1
NA19117	YRI	AFR	1
NA19118	YRI	AFR	2
NA19174	YRI	AFR	1
NA19130	YRI	AFR	1
NA19131	YRI	AFR	2
NA19132	YRI	AFR	2
NA19098	YRI	AFR	1
NA19099	YRI	AFR	2
NA19100	YRI	AFR	2
NA19195	YRI	AFR	1
NA19196	YRI	AFR	2
NA19213	YRI	AFR	1
NA19214	YRI	AFR	2
NA19215	YRI	AFR	2
NA19189	YRI	AFR	1
NA19190	YRI	AFR	2
NA19191	YRI	AFR	1
NA19235	YRI	AFR	2
NA19236	YRI	AFR	1
NA19237	YRI	AFR	2
NA19238	YRI	AFR	2
NA19239	YRI	AFR	1
NA19240	YRI	AFR	2
NA19247	YRI	AFR	2
NA19248	YRI	AFR	1
NA19249	YRI	AFR	1
